"user_id","gender","age","married","has_children","home_country","home_city","home_airport","sign_up_date","num_clicks","num_sessions","avg_session_duration_mins","total_flight_bookings","total_hotel_bookings","avg_flight_discount_percent","avg_hotel_discount_percent","discount_flight_proportion","discount_hotel_proportion","total_cancellations","activity_type","scaled_session_duration","booking_rate","cancellation_rate","num_nights","num_rooms","num_trips","total_checked_bags","avg_amount_spent","money_spent_hotel","money_spent_flight","avg_hotel_price_per_room_night_usd","avg_km_flown","scaled_fare_usd","traveler_profile","perk_assignment"
"517961","F","62","true","true","canada","montreal","YUL","2023-01-08","283","8","16.52","4","4","0.10","0.00","0.25","0.125","1","Flight with Hotel","0.48","1","0.25","4","4","4","6","10814.2375000000000000","2445.00","40811.95","101.25","7839.82","3643.60","senior traveller","Free Hotel Meals"
"523735","F","56","true","true","canada","ottawa","YOW","2023-01-11","171","9","2.34","3","4","0.30","0.10","0.1111111111111111","0.3333333333333333","0","Flight with Hotel","0.05","0.75","0","4","4","4","2","3203.3700000000000000","3175.60","8121.10","88.50","2655.27","1123.05","senior traveller","Free Hotel Meals"
"553901","F","56","true","true","usa","omaha","OMA","2023-01-26","100","8","1.56","2","3","0.20","0.10","0.25","0.125","0","Flight with Hotel","0.03","0.6666666666666666","0","3","3","3","4","2677.0300000000000000","5676.10","2719.83","206.67","1182.04","445.99","senior traveller","Free Hotel Meals"
"532259","M","56","true","true","usa","dallas","DAL","2023-01-15","200","8","3.13","5","6","0.13","0.00","0.375","0","0","Flight with Hotel","0.08","0.8333333333333334","0","6","6","6","3","918.0540000000000000","3854.00","2785.87","135.83","1356.95","350.34","senior traveller","Free Hotel Meals"
"540029","F","64","true","true","usa","columbus","LCK","2023-01-19","116","8","1.79","2","2","0.15","0.05","0.125","0.125","0","Flight with Hotel","0.04","1","0","2","2","2","3","9473.8950000000000000","2820.00","15739.04","117.50","5588.01","2687.97","senior traveller","Free Hotel Meals"
"599649","F","56","true","true","usa","new york","JFK","2023-02-17","392","8","18.00","5","5","0.15","0.15","0.25","0.25","1","Flight with Hotel","0.53","1","0.2","5","5","5","3","3054.6520000000000000","6988.50","8076.56","204.00","1975.13","672.80","senior traveller","Free Hotel Meals"
"510070","F","58","true","true","usa","boston","BOS","2023-01-04","195","8","2.99","2","4","0.08","0.15","0.25","0.125","0","Flight with Hotel","0.07","0.5","0","4","4","4","4","2786.0000000000000000","6228.20","1992.00","132.00","1338.73","350.44","senior traveller","Free Hotel Meals"
"531144","F","56","true","true","usa","indianapolis","IND","2023-01-15","128","8","2.00","3","3","0.20","0.20","0.125","0.375","0","Flight with Hotel","0.04","1","0","3","3","3","3","1306.9533333333333333","1269.30","2465.86","234.00","967.04","345.85","senior traveller","Free Hotel Meals"
"525081","F","57","true","true","usa","anchorage","ANC","2023-01-12","115","9","1.59","1","4","0.12","0.10","0.3333333333333333","0.1111111111111111","0","Flight with Hotel","0.03","0.25","0","4","4","4","0","1132.2700000000000000","6489.40","908.46","108.75","4459.83","956.27","senior traveller","Free Hotel Meals"
"519846","F","58","false","true","usa","brownsville","BRO","2023-01-09","169","9","2.34","3","4","0.15","0.00","0.1111111111111111","0","0","Flight with Hotel","0.05","0.75","0","4","4","4","0","1539.3933333333333333","7592.00","2275.46","261.50","2594.12","524.13","senior traveller","Free Hotel Meals"
"515085","F","61","true","true","usa","new york","JFK","2023-01-07","197","9","9.18","2","3","0.18","0.00","0.3333333333333333","0.1111111111111111","1","Flight with Hotel","0.26","0.6666666666666666","0.3333333333333333","3","3","3","10","10780.2600000000000000","11985.00","11312.52","145.67","875.65","942.71","senior traveller","Free Hotel Meals"
"566432","F","64","true","true","usa","el paso","ELP","2023-02-01","132","9","1.85","3","4","0.15","0.08","0.1111111111111111","0.2222222222222222","0","Flight with Hotel","0.04","0.75","0","4","4","4","2","1860.3633333333333333","1248.00","4833.09","153.50","3088.86","882.70","senior traveller","Free Hotel Meals"
"563375","F","65","true","true","usa","los angeles","LAX","2023-01-31","120","9","1.65","2","2","0.18","0.12","0.2222222222222222","0.3333333333333333","0","Flight with Hotel","0.03","0.3333333333333333","0","2","2","3","1","944.0000000000000000","2394.45","4041.36","102.50","3190.91","911.69","senior traveller","Free Hotel Meals"
"584241","F","57","false","true","usa","charlotte","CLT","2023-02-09","59","8","0.91","0","2","0.05","0.13","0.125","0.25","0","Hotel Only","0.01","0","0","2","2","2","0","","1960.00","0.00","127.50","0.00","0.00","senior traveller","Free Hotel Meals"
"541454","F","56","false","true","usa","boston","BOS","2023-01-20","166","8","2.56","5","5","0.28","0.08","0.25","0.25","0","Flight with Hotel","0.06","1","0","5","5","5","6","1320.5960000000000000","3320.00","3088.50","169.40","2781.17","522.99","senior traveller","Free Hotel Meals"
"615489","F","57","true","true","usa","montgomery","MXF","2023-02-23","254","8","15.83","3","2","0.11","0.10","0.625","0.25","1","Flight with Hotel","0.46","0.6666666666666666","0.3333333333333333","1","1","3","4","1008.3600000000000000","216.00","10496.50","108.00","2372.64","1267.05","senior traveller","Free Hotel Meals"
"523700","F","59","true","true","usa","charlotte","CLT","2023-01-11","143","8","2.25","1","1","0.30","0.10","0.25","0.125","0","Flight with Hotel","0.05","1","0","1","1","1","0","1808.4800000000000000","1346.40","312.48","748.00","560.63","156.24","senior traveller","Free Hotel Meals"
"647804","M","57","false","true","usa","lincoln","LNK","2023-03-09","91","8","1.40","2","2","0.10","0.20","0.25","0.125","0","Flight with Hotel","0.03","1","0","2","2","2","2","2485.4900000000000000","2624.20","2259.98","235.00","1599.17","496.71","senior traveller","Free Hotel Meals"
"572728","F","56","false","true","usa","jacksonville","LRF","2023-02-04","178","8","2.75","4","4","0.10","0.13","0.125","0.25","0","Flight with Hotel","0.07","0.6","0","4","4","5","4","1153.1266666666666667","2856.00","2028.88","184.75","1467.57","343.31","senior traveller","Free Hotel Meals"
"515490","F","56","true","true","usa","oklahoma city","TIK","2023-01-07","180","9","2.50","4","4","0.00","0.00","0","0","0","Flight with Hotel","0.06","1","0","4","4","4","1","1169.8725000000000000","2372.00","2307.49","192.50","1672.22","370.19","senior traveller","Free Hotel Meals"
"768291","F","61","false","true","usa","dallas","DAL","2023-04-21","101","8","1.56","2","2","0.05","0.10","0.125","0.125","0","Flight with Hotel","0.03","1","0","2","2","2","4","2979.3000000000000000","3170.00","2784.87","125.50","1063.98","489.65","senior traveller","Free Hotel Meals"
"582011","F","64","true","true","usa","baltimore","BWI","2023-02-08","136","8","2.10","4","4","0.20","0.00","0.375","0","0","Flight with Hotel","0.05","1","0","4","4","4","3","1697.2450000000000000","3694.00","3007.70","231.75","2039.49","496.36","senior traveller","Free Hotel Meals"
"519706","F","63","false","true","canada","victoria","YYJ","2023-01-09","93","8","1.41","0","1","0.10","0.20","0.125","0.125","0","Hotel Only","0.03","0","0","1","1","1","0","","5443.20","0.00","126.00","0.00","0.00","senior traveller","Free Hotel Meals"
